2000s Preppy	Barbiecore
2000s Preppy	Basic Girl
2000s Preppy	Boujee
2000s Preppy	Bubblegum Bitch
2000s Preppy	High School Dream
2000s Preppy	Old Money
2000s Preppy	Preppy
2000s Preppy	Tweencore
Acid House	Club
Acid House	Gabber
Acid House	Hip-Hop
Acid House	Madchester
Acid House	New Beat
Acid House	Psychedelia
Acid House	Slimepunk
Adventurecore	Cabincore
Adventurecore	Campcore
Adventurecore	Cryptidcore
Adventurecore	Desert
Adventurecore	Goblincore
Adventurecore	Junglecore
Adventurecore	Naturecore
Afrofuturism	Androgynous
Afrofuturism	Art Hoe
Afrofuturism	Cyber Ghetto
Afrofuturism	Cyberpunk
Alien	Cryptidcore
Alien	Holosexual
Alien	Spacecore
Alien	Vaporwave
Alternative	Beatnik
Alternative	Emo
Alternative	Girl Crush
Alternative	Goth
Alternative	Grunge
Alternative	Indie
Alternative	Nu-Metal
Alternative	Punk
Americana	Cottagecore
Americana	Country
Americana	Flapper
Americana	Greaser
Americana	Minet
Americana	Paninaro
Americana	Prairie
Americana	Raggare
Americana	Rockabilly
Americana	Stilyagi
Americana	Western
Americana	Vintage Americana
Ancient Egypt	Hellenic
Ancient Egypt	Art Deco
Androgynous	Club Kids
Androgynous	Cybergoth
Androgynous	Deathrock
Androgynous	Glam Rock
Androgynous	Goth
Androgynous	Heroin Chic
Androgynous	Minet
Androgynous	New Romantic
Androgynous	Power Dressing
Androgynous	Succubus Chic
Androgynous	Tomboy
Androgynous	Trad Goth
Androgynous	Visual Kei
Angelcore	Baroque
Angelcore	Devilcore
Angelcore	Dreamy
Angelcore	Ethereal
Angelcore	Hellenic
Angelcore	Rococo
Angelcore	Babycore
Angelcore	Delicate Sweet
Angelcore	Lovecore
Angelcore	Goth
Angelcore	Devilcore
Angelcore	Dark Naturalism
Angelcore	Grunge
Angelcore	Baroque
Angura	Goth
Angura	Visual Kei
Animecore	E-Girl
Animecore	Goth Punk
Animecore	Kawaii
Animecore	Magical Girl
Animecore	Neko
Animecore	Weeaboo
Animecore	Yami Kawaii
Animecore	Yume Kawaii
Anti-Fashion	Club Kids
Anti-Fashion	Grunge
Anti-Fashion	Normcore
Anti-Fashion	Punk
Arcadecore	Animecore
Arcadecore	Casino
Arcadecore	Cuddle Party
Arcadecore	Cybergoth
Arcadecore	Cyberpunk
Arcadecore	Kidcore
Arcadecore	Mallgoth
Arcadecore	Scene
Arcadecore	Tweencore
Arcadecore	Vacation Dadcore
Arcadecore	Vaporwave
Arcadecore	Y2K Futurism
Art Deco	Decopunk
Art Deco	Dieselpunk
Art Deco	Flapper
Art Deco	Futurism
Art Deco	Nautical
Art Deco	New Look
Art Deco	Preppy
Art Hoe	Afrofuturism
Art Hoe	Cottagecore
Art Hoe	E-Boy
Art Hoe	Hippie
Art Hoe	Indie
Art Hoe	Indie Sleaze
Art Hoe	Normcore
Art Hoe	Picniccore
Art Hoe	Plant Mom
Art Hoe	VSCO Girl
Asian Baby Girl	Baddie
Asian Baby Girl	Femme Fatale
Asian Baby Girl	Sukeban
Asian Baby Girl	Boujee
Asian Baby Girl	Yabi
Atompunk	Cyberpunk
Atompunk	Decopunk
Atompunk	Dieselpunk
Atompunk	Nuclear
Atompunk	Punk
Avant Apocalypse	Fairy Grunge
Avant Apocalypse	Post-Apocalyptic
Avant Apocalypse	Y2K Futurism
Avant Basic	Dopamine
Avant Basic	Gen Z Maximalism
Avant Basic	Indie Kid
Avant Basic	Kidcore
Avant Basic	Psychedelia
Avant Basic	Vaporwave
Avant Basic	Y2K Futurism
B-Movie Horror	Devilcore
B-Movie Horror	Gorecore
B-Movie Horror	Halloween
B-Movie Horror	Vampire
Babycore	Babygirl
