1999 Mundane Office Space	Corporate Memphis	       1	       1	       1	       0	3
1999 Mundane Office Space	Doomer	       1	       1	       1	       0	3
1999 Mundane Office Space	International Typographic Style	       1	       1	       1	       0	3
1999 Mundane Office Space	Liminal Space	       1	       1	       1	       0	3
1999 Mundane Office Space	Mallsoft	       1	       1	       1	       0	3
1999 Mundane Office Space	Office Siren	       1	       1	       1	       0	3
1999 Mundane Office Space	Power Dressing	       1	       1	       1	       0	3
1999 Mundane Office Space	TikTok Preppy	       1	       1	       1	       0	3
1999 Mundane Office Space	Yuppie	       1	       1	       1	       0	3
2000s Preppy	Bubblegum Bitch	       1	       1	       1	       1	4
2000s Preppy	Basic Girl	       1	       1	       1	       0	3
2000s Preppy	Boujee	       1	       1	       1	       0	3
2000s Preppy	High School Dream	       1	       1	       1	       0	3
2000s Preppy	Old Money	       1	       1	       1	       0	3
2000s Preppy	TikTok Preppy	       1	       1	       1	       0	3
2000s Preppy	Surfer	       1	       1	       1	       0	3
2000s Preppy	Tweencore	       1	       1	       1	       1	4
2010s Internet	2014 Tumblr	       1	       1	       1	       0	3
2010s Internet	Bubblegum Dance	       1	       1	       1	       0	3
2010s Internet	Digital Horror	       1	       1	       1	       1	4
2010s Internet	Frutiger Aero	       1	       1	       1	       1	4
2010s Internet	Frutiger Metro	       1	       1	       1	       1	4
2010s Internet	Gamercore	       1	       1	       1	       0	3
2010s Internet	Geek	       1	       1	       1	       0	3
2010s Internet	Glitter Graphics	       1	       1	       1	       0	3
2010s Internet	Nu-Goth	       1	       1	       1	       0	3
2010s Internet	Internet Awesomesauce	       1	       1	       1	       1	4
2010s Internet	Krocha	       1	       1	       1	       1	4
2010s Internet	Meme Rap	       1	       1	       1	       0	3
2010s Internet	Nerd	       1	       1	       1	       0	3
2010s Internet	Pastel Goth	       1	       1	       1	       0	3
2010s Internet	Poster Gal	       1	       1	       1	       0	3
2010s Internet	Scene	       1	       1	       1	       1	4
2010s Internet	Skeuomorphism	       1	       1	       1	       0	3
2010s Internet	Trillwave	       1	       1	       1	       1	4
2010s Internet	Tecktonik	       1	       1	       1	       1	4
2010s Internet	Vaporwave	       1	       1	       1	       0	3
2010s Internet	Y2K Futurism	       1	       1	       1	       0	3
2010s Internet	Yandere	       1	       1	       1	       1	4
2014 Girly	2014 Tumblr	       1	       1	       1	       0	3
2014 Girly	Bubblegum Bitch	       1	       1	       1	       0	3
2014 Girly	Pink Princess	       1	       1	       1	       0	3
2014 Girly	Quality Tumblr	       1	       1	       1	       1	4
2014 Girly	Shabby Chic	       1	       1	       1	       0	3
2020s Gamer	2020 TikTok	       1	       1	       1	       0	3
2020s Gamer	Cyberpunk	       1	       1	       1	       0	3
2020s Gamer	Tradcath Coquette	       1	       1	       1	       0	3
2020s Gamer	Gamercore	       1	       1	       1	       0	3
2020s Gamer	Hexatron	       1	       1	       1	       1	4
2020s Gamer	Kawaii Gamer	       1	       1	       1	       1	4
2020s Gamer	Synthwave	       1	       1	       1	       0	3
50s Suburbia	American Kitsch	       1	       1	       1	       0	3
50s Suburbia	Nymphet	       1	       1	       1	       1	4
50s Suburbia	Diner	       1	       1	       1	       1	4
50s Suburbia	Dreamcore	       1	       1	       1	       0	3
50s Suburbia	Suburban Gothic	       1	       1	       1	       1	4
50s Suburbia	Thai Modern	       1	       1	       1	       0	3
50s Suburbia	Vintage Americana	       1	       1	       1	       0	3
8-Bit	Arcadecore	       1	       1	       1	       1	4
8-Bit	Low Poly	       1	       1	       1	       0	3
8-Bit	PC-98	       1	       1	       1	       0	3
8-Bit	Pixel UI	       1	       1	       1	       1	4
8-Bit	Pixelscape	       1	       1	       1	       0	3
8-Bit	Shanzhai	       1	       1	       1	       0	3
90s Cool	Abstract Tech	       1	       1	       1	       1	4
90s Cool	Mallgoth	       1	       1	       1	       1	4
90s Cool	Berlin Techno Fashion	       1	       1	       1	       1	4
90s Cool	Biopunk	       1	       1	       1	       0	3
90s Cool	Chromecore	       1	       1	       1	       0	3
90s Cool	Corporate Grunge	       1	       1	       1	       0	3
90s Cool	Cyberdelic	       1	       1	       1	       0	3
90s Cool	Cyberprep	       1	       1	       1	       0	3
90s Cool	Cyberpunk	       1	       1	       1	       0	3
90s Cool	Gen X Soft Club	       1	       1	       1	       1	4
90s Cool	Trap Metal	       1	       1	       1	       0	3
90s Cool	Metalheart	       1	       1	       1	       1	4
90s Cool	Nu-Metal	       1	       1	       1	       1	4
90s Cool	Olderbrothercore	       1	       1	       1	       0	3
90s Cool	Poster Gal	       1	       1	       1	       0	3
90s Cool	Rave	       1	       1	       1	       0	3
90s Cool	Techwear	       1	       1	       1	       0	3
90s Cool	Teenpunk	       1	       1	       1	       1	4
90s Cool	Y2K Futurism	       1	       1	       1	       1	4
Abstract Tech	Corporate Memphis	       1	       1	       1	       0	3
Abstract Tech	Cyberprep	       1	       1	       1	       0	3
Abstract Tech	Cyberpunk	       1	       1	       1	       0	3
Abstract Tech	Dark Aero	       1	       1	       1	       0	3
Abstract Tech	DORFic	       1	       1	       1	       0	3
Abstract Tech	Fluent Design	       1	       1	       1	       0	3
Abstract Tech	Frutiger Aero	       1	       1	       1	       0	3
Abstract Tech	Frutiger Eco	       1	       1	       1	       0	3
Abstract Tech	Hacker	       1	       1	       1	       0	3
Abstract Tech	Hexatron	       1	       1	       1	       0	3
Abstract Tech	Med-Tech Visions	       1	       1	       1	       1	4
Abstract Tech	Metalheart	       1	       1	       1	       1	4
Abstract Tech	Robotcore	       1	       1	       1	       0	3
