2 Tone
https://static.wikia.nocookie.net/aesthetics/images/7/7b/The_Specials.jpg/revision/latest/scale-to-width-down/268?cb=20250821115607,The Specials, one of the pioneering bands of the 2 Tone movement, showcasing the subculture's signature Rude Boy-inspired style.
Other names,Two-Tone, Ska Revival
Decade of origin,Late 1970s
Location of origin,Coventry, United Kingdom
Key motifs,Checkerboard pattern, suits, pork pie hats, loafers, scooters, band logos
Key colours,Black and white
Key values,Anti-racism, racial unity, working-class pride, social commentary
Related aesthetics,Mod, New Wave, Northern Soul, Punk, Reggae, Rude Boy, Skinhead
Preceded by,Rude Boy, Punk
